Source,area,short names,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
FAOSTAT_3,AFG,total_fertilizers,,,,,,,,,,,,24526.53,27035.26,33169.37,29774.39,24869.52,16377.29,14432.03,14712.11,13854.86,29816.2,18523.47,38011.93,79000.86,31232.39,105733.85,157464.02
FAOSTAT_3,AGO,total_fertilizers,,,,,,,,,,,,5143,5903,14855,7460,12078,11237,28080,21889,34563,56324,41717.43,45393.39,45371,39436.84,35482.22,52305.94
FAOSTAT_3,ALB,total_fertilizers,,,,,,,,,,,,56404,57406.71,58555.64,60457.92,50108.64,51106.74,47158.94,55040.42,53224.98,60604.12,57614.41,54410.38,54410.3,66327,78243.7,61082.86
FAOSTAT_3,ARE,total_fertilizers,,,,,,,,,,,,48360,48360,48360,45360,42220,41950,41210,31090,37310,40590,31470,38770,27682.89,31528.29,31528.29,31528.29
FAOSTAT_3,ARG,total_fertilizers,,,,,,,,,,,,842378,1200310,1394388,1197545,1443348,1794570,1241715,788194,1488126,1617843,1372564,1428027,1379654.32,1068812.46,1621355.75,1659666.22
FAOSTAT_3,ARM,total_fertilizers,,,,,,,,,,,,15708,10464,14401,10325,57900.5,26820,24390.3,39547.4,29625.6,36366.3,58026.6,59192.6,53113.1,65039.5,147530.9,90339.3
FAOSTAT_3,ATG,total_fertilizers,,,,,,,,,,,,52,109,30,24,18,2,14,53,12,13,39.39,50.12,31.8,21.9,72.85,21.04
FAOSTAT_3,AUS,total_fertilizers,,,,,,,,,,,,2273800,2173700,2432000,2215900,2073700,2066400,1873700,1653600,1971600,2158800,2196395,2273975,2251741.86,2381039.8,2187211.25,2116041.41
FAOSTAT_3,AUT,total_fertilizers,,,,,,,,,,,,324123,410060,181161,187383,179999,151727,150652,113983,147955,140568,170000,183603,195396,194793,187853,179242
FAOSTAT_3,AZE,total_fertilizers,,,,,,,,,,,,19170,14050,22042,24626,24561,19722,38948,25133,18756,29369,36184.31,38433.71,61170.3,13284.9,28171.6,13794.36
