	Source	area	short names	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
163	FAOSTAT_3	AGO	total_pesticides_use	81.67	25.33	169.0	25.5	336.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0
164	FAOSTAT_3	ALB	total_pesticides_use	121.0	121.0	121.0	201.0	251.0	261.89	272.78	283.68	294.57	305.46	316.35	327.25	338.14	349.03	359.92	370.82	381.71	392.6	403.49	582.93	574.62	353.05	441.53	447.89	590.41	656.52	681.14
165	FAOSTAT_3	ARG	total_pesticides_use	26156.0	26156.0	26156.0	30195.0	37842.0	54595.0	77691.0	62397.0	73152.15	83907.29	94662.44	105417.59	116172.73	126927.88	137683.03	148438.17	185617.65	202151.41	138831.47	234430.38	219255.93	215405.95	211555.98	207706.0	203806.98	199907.95	196008.93
166	FAOSTAT_3	ARM	total_pesticides_use	0.0	8.0	8.0	23.0	23.9	32.0	41.46	50.92	60.38	69.85	79.31	88.77	98.23	204.77	220.51	227.55	241.71	218.2	198.36	278.72	278.72	278.72	278.72	278.72	278.72	278.72	278.72
167	FAOSTAT_3	ATG	total_pesticides_use	7.52	7.52	7.52	7.52	7.52	7.52	7.52	7.52	7.52	7.52	7.52	7.52	7.52	7.52	7.52	7.52	7.52	7.52	7.52	7.52	39.26	31.5	28.3	27.47	26.64	26.64	26.64
168	FAOSTAT_3	AUS	total_pesticides_use	17866.0	22234.0	23899.0	21057.0	25598.0	31185.0	34091.0	37215.0	34200.0	33475.0	32710.0	26651.0	32418.0	36276.0	34310.0	35900.0	32446.24	42935.38	38065.69	42169.39	47632.98	48687.88	45177.19	49857.35	50921.6	63416.48	63416.48
169	FAOSTAT_3	AUT	total_pesticides_use	4487.0	3897.0	3984.0	3619.0	3402.0	3565.0	3689.6	3340.3	3418.6	3563.2	3132.2	3079.2	3384.9	3301.7	3404.0	3415.7	3526.6	4246.7	3531.8	3692.4	3441.5	3563.3	3108.6	3380.7	3787.1	3662.1	4655.3
170	FAOSTAT_3	AZE	total_pesticides_use	0.0	148.68	148.68	148.68	148.68	148.68	148.68	148.68	148.68	148.68	148.68	148.68	148.68	148.68	148.68	148.68	148.68	262.99	316.18	333.85	461.84	516.35	489.8	531.84	529.69	542.82	542.82
171	FAOSTAT_3	BDI	total_pesticides_use	92.08	92.08	96.99	84.45	144.2	207.1	117.56	107.29	150.24	109.87	72.58	98.1	263.7	508.26	304.83	190.51	412.66	456.44	177.75	264.53	75.64	98.59	956.06	74.49	72.74	50.26	50.26
172	FAOSTAT_3	BEL	total_pesticides_use	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9560.49	8529.07	9204.64	8822.52	9186.39	9776.26	8244.16	6712.05	6516.47	5496.04	4644.53	5740.44	6139.3	5905.6	6490.46	5848.26	6014.67	5742.39
